security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-07-01 21:00:00,1.45253,1.45253,1.45253,1.45253,55.83706055069525,76.98397909297798,0.014263765897041984
EUR_USD,2011-07-02 21:00:00,1.45351,1.45418,1.45253,1.45135,55.52194296498444,83.84842784197797,0.011741012717633574
EUR_USD,2011-07-03 21:00:00,1.4539,1.45779,1.45356,1.4496,55.045347387532786,87.31961903697233,0.010680810174106862
EUR_USD,2011-07-04 21:00:00,1.44286,1.45535,1.45388,1.43968,52.407349586482916,74.53879681060518,0.009694648139285474
EUR_USD,2011-07-05 21:00:00,1.43192,1.44664,1.44284,1.42863,49.6646690722792,53.06204428310412,0.00914771851142835
EUR_USD,2011-07-06 21:00:00,1.43632,1.43743,1.43196,1.42212,48.129568067274775,29.440253491532754,0.009078174809142664
EUR_USD,2011-07-07 21:00:00,1.42642,1.43695,1.43636,1.42058,47.76824830585126,12.808681534649478,0.010228539847314111
EUR_USD,2011-07-08 21:00:00,1.42582,1.42642,1.42642,1.42582,49.11293460484174,10.407587798000772,0.009350831877851302
EUR_USD,2011-07-09 21:00:00,1.42053,1.42983,1.42582,1.42041,47.79864459868395,8.946423993847906,0.008282665502281012
EUR_USD,2011-07-10 21:00:00,1.40294,1.42277,1.42055,1.39864,43.00765225482906,-9.800905750661924,0.007098132401824837
EUR_USD,2011-07-11 21:00:00,1.39761,1.40621,1.40296,1.38372,40.15417599183411,-27.513217000075652,0.007192505921459842
EUR_USD,2011-07-12 21:00:00,1.41675,1.41926,1.39764,1.39516,43.14622231976794,-30.280364186653667,0.012862004737167854
EUR_USD,2011-07-13 21:00:00,1.41427,1.42823,1.41678,1.41156,47.07061444387508,-5.357053391608641,0.016903603789734316
EUR_USD,2011-07-14 21:00:00,1.416,1.41991,1.41429,1.40926,46.60390922112843,12.77916320310329,0.01519288303178747
EUR_USD,2011-07-15 21:00:00,1.416,1.416,1.416,1.416,48.16201250679284,24.328068717096084,0.01350230642542997
